agent_id,region,prefecture,commune,canton,operateur_source,sert_togocom,sert_moov,lon,lat,classe_operateur,unite_commune,prefecture_geom,coherence_geo,dist_km_BQ_ACT,dist_km_BQ_NR,dist_km_BQ_NOP,dist_km_MF_ACT,dist_km_MF_NR,dist_km_MF_NOP,dist_km_MU_ACT,dist_km_MU_NR,dist_km_MU_NOP,dist_km_AS_ACT,dist_km_AS_NR,dist_km_AS_NOP
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e8b,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",True,True,0.3032083333333333,10.996651666666667,Moov + Togocom,Tône 4,Tône,Concordant,16.879,33.252,247.807,13.171,18.11,15.134,521.009,536.639,,186.662,187.081,396.954
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e8c,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.3600592001272428,10.717565088366083,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,16.776,56.687,216.28,3.014,16.715,19.942,489.482,504.992,,157.255,157.729,365.333
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e8d,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.231485,10.878860000000001,Moov + Togocom,Tône 1,Tône,Concordant,3.372,33.967,235.888,3.032,3.712,17.821,510.734,525.516,,180.006,180.486,386.213
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e8e,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.36035,10.717921666666665,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,16.813,56.678,216.316,2.968,16.752,19.897,489.511,505.025,,157.269,157.743,365.364
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e8f,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,False,False,1.2845533333333332,6.171833333333333,Non renseigné,Golfe 1,Golfe,Concordant,0.57,2.727,5.405,0.613,6.038,5.41,9.366,11.005,,2.587,8.77,7.617
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e90,Savanes,Tône,Tône 1,Toaga,Togocom,True,False,0.2489566666666667,10.885906666666665,Togocom seul,Tône 1,Tône,Concordant,5.366,34.762,236.375,5.094,5.763,15.86,510.914,525.857,,179.55,180.02,386.475
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e91,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.3603193341104241,10.718124249426852,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,16.812,56.659,216.339,2.961,16.751,19.876,489.534,505.047,,157.289,157.763,365.387
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e92,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,True,False,0.3601712447675913,10.718348622033448,Togocom seul,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,16.799,56.629,216.365,2.965,16.738,19.854,489.562,505.075,,157.319,157.793,365.415
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e93,Savanes,Tône,Tône 1,Toaga,Togocom,True,False,0.2392606758149832,10.882063923216391,Togocom seul,Tône 1,Tône,Concordant,4.274,34.302,236.11,3.953,4.626,16.944,510.82,525.674,,179.807,180.282,386.336
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e94,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",True,True,0.1864104159983782,11.00668450253974,Moov + Togocom,Cinkassé 2,Cinkassé,Concordant,13.748,21.186,250.707,7.141,15.235,25.905,525.769,540.472,,194.485,194.947,401.221
