fichier,colonne,type,lignes,non_nuls,taux_manquant_pct,taux_non_informatif_pct,valeurs_distinctes,min,max,exemples,periode,granularite
file-agents-mobile-money-19-12-2024-16-55-32.csv,FID,texte,19788,19788,0.0,0.0,19788,,,_mview_tel_agents_mobile_money.fid-7111a | _mview_tel_agents_mobile_money.fid-7111a | _mview_tel_agents_mobile_money.fid-7111a,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,region_nom_bdd,texte,19788,19788,0.0,0.0,5,,,Maritime | Plateaux | Kara,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,prefecture_nom_bdd,texte,19788,19788,0.0,0.0,39,,,Golfe | Kozah | Tchaoudjo,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,commune_nom_bdd,texte,19788,19788,0.0,0.0,117,,,Kozah 1 | Tchaoudjo 1 | Golfe 1,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,canton_nom_bdd,texte,19788,19788,0.0,0.0,372,,,Commune De Kara | Bè-Est | Aflao-Gakli,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,operateur,texte,19788,19788,0.0,6.81,4,,,"Moov, Togocom | Togocom | Nsp","Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-agents-mobile-money-19-12-2024-16-55-32.csv,geometry,géométrie (WKT Point),19788,19788,0.0,0.0,19788,,,POINT (1.2144986445140882 6.145976688064 | POINT (0.3032083333333333 10.99665166666 | POINT (0.3600592001272428 10.71756508836,"Collecte PRISE 2021/2022 (catalogue du géoportail, audit Défi 1) ; extraction du 19/12/2024","Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,FID,texte,738,738,0.0,0.0,738,,,_mview_finance_etablissements_banque.fid | _mview_finance_etablissements_banque.fid | _mview_finance_etablissements_banque.fid,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,region_nom_bdd,texte,738,738,0.0,0.0,5,,,Maritime | Plateaux | Kara,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,prefecture_nom_bdd,texte,738,738,0.0,0.0,38,,,Golfe | Agoè-Nyivé | Zio,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,commune_nom_bdd,texte,738,738,0.0,0.0,95,,,Golfe 5 | Golfe 1 | Agoè-Nyivé 1,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,canton_nom_bdd,texte,738,738,0.0,0.0,130,,,Aflao-Gakli | Bè-Est | Agoè-Nyivé,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,nom_localite,texte,738,738,0.0,3.39,462,,,N/a | AKODESSEWA | Adidogomé,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
file-finance-etablissements-08-01-2025-17-49-30.csv,etab_nom,texte,738,738,0.0,0.0,730,,,COOPEC la Fructueuse | Assilassime Solidarité | Mutuelle Nevaeme,Période de collecte non indiquée dans le fichier ; extraction du 08/01/2025,"Point GPS (région, préfecture, commune, canton déclarés)"
