etab_id,nom,localite,region,prefecture,commune,canton,categorie,categorie_source,statut_source,statut_groupe,jours_ouverture,nb_jours_ouverture,ouvert_samedi,ouvert_dimanche,jours_renseignes,lon,lat,unite_commune,prefecture_geom,coherence_geo
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447e,BTCI Amadahome,Amadahome,Maritime,Golfe,Golfe 5,Aflao-Gakli,Banque,Banque,Nsp,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1654270638510162,6.203541360604255,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447d,FUCEC Togo Afagnan,Awassi Onorio,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.6271233333333333,6.4957666666666665,Bas-Mono 1,Bas-Mono,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447c,Mutuelle Dignite Humaine,Djagble,Maritime,Zio,Zio 1,Abobo,Mutuelle,Mutuelle,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.287165,6.2662249999999995,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447b,Mutuelle Le Roc,Ablota,Maritime,Zio,Zio 1,Abobo,Mutuelle,Mutuelle,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.3728760724747087,6.239534103539881,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447a,FUCEC-Togo,Adidogome,Maritime,Golfe,Golfe 5,Aflao-Gakli,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.1690136321572586,6.183478641263159,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4479,CIF Assurance-vie,Adidoadin,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assurance,Assurance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1895305475058346,6.206187504803494,Agoè-Nyivé 1,Agoè-Nyivé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4478,BTCI Baguida,BAGUIDA,Maritime,Golfe,Golfe 6,Baguida,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.3381952574322604,6.167495664668762,Golfe 6,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4477,Microfinance Millenium Totsi,Totsi,Maritime,Golfe,Golfe 5,Aflao-Gakli,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1866806869108153,6.197077790836492,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4476,BTCI Agbalepedogan,Agbalepedogan,Maritime,Golfe,Golfe 5,Aflao-Gakli,Banque,Banque,Nsp,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.2007360347995675,6.197624349044445,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4475,COOPAD Djagblé,Djagble,Maritime,Zio,Zio 1,Djagblé,Micro-finance,Micro-Finance,Utilisé,En activité,Non renseigné,0,False,False,False,1.282792090426032,6.254119620863774,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4474,SUNU Bank Yata,YATA,Plateaux,Ogou,Ogou 1,Gnagna,Banque,Banque,Fermé,Déclaré non opérationnel,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.1403786980788655,7.519636195213213,Ogou 1,Ogou,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4473,Mutuelle Meci,Djagble,Maritime,Zio,Zio 1,Djagblé,Mutuelle,Mutuelle,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.2835601090271076,6.256053905261389,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4472,Direction générale Siab Togo,Adawlato,Maritime,Golfe,Golfe 4,Amoutivé,Banque,Banque,Utilise,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.22458742066699,6.123606099488691,Golfe 4,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4471,UCMECF To Point de Agbandji,Agbandji,Centrale,Blitta,Blitta 2,Agbandi,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1345633333333334,8.227016666666666,Blitta 2,Blitta,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4470,FUCEC Togo Agence Pagala,Pagala Gare,Centrale,Blitta,Blitta 1,Pagala-Gare,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.9754058150753561,8.178073750269546,Blitta 1,Blitta,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446f,Mutuelle Le President Microfinance Sa,Aveta,Maritime,Zio,Zio 1,Abobo,Mutuelle,Mutuelle,{autre},Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.2919633333333334,6.270525,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446e,FUCEC-togo Agence Vakpossito,Telessou,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Micro-finance,Micro-Finance,Nsp,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1693257332827622,6.218002102046497,Agoè-Nyivé 3,Agoè-Nyivé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446d,UTB Agence Totsi,Totsi,Maritime,Golfe,Golfe 5,Aflao-Gakli,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.1875630239819002,6.196495010626283,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446c,CECAV Gbama Kope,Gbama Cope,Maritime,Zio,Zio 1,Djagblé,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.2635966666666665,6.260861666666667,Zio 1,Zio,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446b,COOPEC Fidelite,Adidogome,Maritime,Golfe,Golfe 5,Aflao-Gakli,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,1.1817190932930046,6.175686110238065,Golfe 5,Golfe,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-446a,Mutuelle ASJD Totsi,Totsi,Maritime,Golfe,Golfe 5,Aflao-Gakli,Mutuelle,Mutuelle,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,1.1876890867899137,6.1953512742015,Golfe 5,Golfe,Concordant
