region,prefecture,unite_commune,communes_bdd,population,libelle_source,correction
Savanes,Tône,Tône 1,Tône 1,211743,TONE 1,
Savanes,Tône,Tône 2,Tône 2,50179,TONE 2,
Savanes,Tône,Tône 3,Tône 3,60276,TONE 3,
Savanes,Tône,Tône 4,Tône 4,66577,TONE 4,
Savanes,Cinkassé,Cinkassé 1,Cinkassé 1,75992,CINKASSE 1,
Savanes,Cinkassé,Cinkassé 2,Cinkassé 2,52967,CINKASSE 2,
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Kpendjal-Ouest 1,56459,KPENDJAL-OUEST 1,
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Kpendjal-Ouest 2,66871,KPENDJAL-OUEST 2,
Savanes,Kpendjal,Kpendjal 1,Kpendjal 1,47903,KPENDJAL 1,
Savanes,Kpendjal,Kpendjal 2,Kpendjal 2,40462,KPENDJAL 2,
Savanes,Oti-Sud,Oti-Sud 1,Oti-Sud 1,106052,OTI-SUD 1,
Savanes,Oti-Sud,Oti-Sud 2,Oti-Sud 2,44324,OTI-SUD 2,
Savanes,Oti,Oti 1,Oti 1,54479,OTI 1,
Savanes,Oti,Oti 2,Oti 2,70369,OTI 2,
Savanes,Tandjoaré,Tandjoaré 1,Tandjoaré 1,74692,TANDJOARE 1,
Savanes,Tandjoaré,Tandjoaré 2,Tandjoaré 2,64175,TANDJOARE 2,
Kara,Kozah,Kozah 1,Kozah 1,193625,KOZAH 1,
Kara,Kozah,Kozah 2,Kozah 2,45704,KOZAH 2,
Kara,Kozah,Kozah 3,Kozah 3,23755,KOZAH 3,
Kara,Kozah,Kozah 4,Kozah 4,20654,KOZAH 4,
Kara,Assoli,Assoli 1,Assoli 1,40417,ASSOLI 1,
Kara,Assoli,Assoli 2,Assoli 2,9933,ASSOLI 2,
Kara,Assoli,Assoli 3,Assoli 3,16044,ASSOLI 3,
Kara,Bassar,Bassar 1,Bassar 1,65059,BASSAR 1,
Kara,Bassar,Bassar 2,Bassar 2,36476,BASSAR 2,
Kara,Bassar,Bassar 3,Bassar 3,33873,BASSAR 3,
Kara,Bassar,Bassar 4,Bassar 4,16657,BASSAR 4,
Kara,Dankpen,Dankpen 1,Dankpen 1,76294,DANKPEN 1,
Kara,Dankpen,Dankpen 2,Dankpen 2,32716,DANKPEN 2,
Kara,Dankpen,Dankpen 3,Dankpen 3,76652,DANKPEN 3,
Kara,Kéran,Kéran 1,Kéran 1,44399,KERAN 1,
Kara,Kéran,Kéran 2,Kéran 2,53305,KERAN 2,
Kara,Kéran,Kéran 3,Kéran 3,30983,KERAN 3,
Kara,Doufelgou,Doufelgou 1,Doufelgou 1,44783,DOUFELGOU 1,
Kara,Doufelgou,Doufelgou 2,Doufelgou 2,11722,DOUFELGOU 2,
Kara,Doufelgou,Doufelgou 3,Doufelgou 3,28262,DOUFELGOU 3,
Kara,Binah,Binah 1,Binah 1,44039,BINAH 1,
Kara,Binah,Binah 2,Binah 2,40160,BINAH2,
Centrale,Tchaoudjo,Tchaoudjo 1,Tchaoudjo 1,177706,TCHAOUDJO 1,
Centrale,Tchaoudjo,Tchaoudjo 2,Tchaoudjo 2,24891,TCHAOUDJO 2,
Centrale,Tchaoudjo,Tchaoudjo 3,Tchaoudjo 3,17484,TCHAOUDJO 3,
Centrale,Tchaoudjo,Tchaoudjo 4,Tchaoudjo 4,20279,TCHAOUDJO 4,
Centrale,Tchamba,Tchamba 1,Tchamba 1,82451,TCHAMBA 1,
Centrale,Tchamba,Tchamba 2,Tchamba 2,64930,TCHAMBA 2,
Centrale,Tchamba,Tchamba 3,Tchamba 3,53204,TCHAMBA 3,
Centrale,Blitta,Blitta 1,Blitta 1,71539,BLITTA 1,
Centrale,Blitta,Blitta 2,Blitta 2,46515,BLITTA 2,
Centrale,Blitta,Blitta 3,Blitta 3,45218,BLITTA 3,
Centrale,Sotouboua,Sotouboua 1,Sotouboua 1,46907,SOTOUBOUA 1,
Centrale,Sotouboua,Sotouboua 2,Sotouboua 2,64187,SOTOUBOUA 2,
Centrale,Sotouboua,Sotouboua 3,Sotouboua 3,27770,SOTOUBOUA 3,
Centrale,Mô,Mô 1,Mô 1,30522,MO 1,
Centrale,Mô,Mô 2,Mô 2,21926,MO 2,
Plateaux,Ogou,Ogou 1,Ogou 1,116301,OGOU 1,
Plateaux,Ogou,Ogou 2,Ogou 2,56282,OGOU 2,
Plateaux,Ogou,Ogou 3,Ogou 3,51836,OGOU 3,
Plateaux,Ogou,Ogou 4,Ogou 4,29048,OGOU 4,
Plateaux,Moyen-Mono,Moyen-Mono 1,Moyen-Mono 1,46797,MOYEN-MONO 1,
Plateaux,Moyen-Mono,Moyen-Mono 2,Moyen-Mono 2,43708,MOYEN-MONO 2,
Plateaux,Haho,Haho 1,Haho 1,119929,HAHO 1,
Plateaux,Haho,Haho 2,Haho 2,82507,HAHO 2,
Plateaux,Haho,Haho 3,Haho 3,58695,HAHO 3,
Plateaux,Haho,Haho 4,Haho 4,43965,HAHO 4,
Plateaux,Agou,Agou 1,Agou 1,58328,AGOU 1,
Plateaux,Agou,Agou 2,Agou 2,27465,AGOU 2,
Plateaux,Kloto,Kloto 1,Kloto 1,118387,KLOTO 1,
Plateaux,Kloto,Kloto 2,Kloto 2,16166,KLOTO 2,
Plateaux,Kloto,Kloto 3,Kloto 3,11433,KLOTO 3,
Plateaux,Kpélé,Kpélé 1,Kpélé 1,53275,KPELE 1,
Plateaux,Kpélé,Kpélé 2,Kpélé 2,27664,KPELE 2,
Plateaux,Danyi,Danyi 1 + Danyi 2,Danyi 1|Danyi 2,40240,DANYI 1+DANYI 2,unité fusionnée dans la source (« DANYI 1+DANYI 2 ») : population commune non séparable
Plateaux,Wawa,Wawa 1,Wawa 1,51187,WAWA 1,
Plateaux,Wawa,Wawa 2,Wawa 2,20414,WAWA 2,
Plateaux,Wawa,Wawa 3,Wawa 3,29699,WAWA 3,
Plateaux,Akébou,Akébou 1,Akébou 1,44196,AKEBOU 1,
Plateaux,Akébou,Akébou 2,Akébou 2,29634,AKEBOU 2,
Plateaux,Amou,Amou 1,Amou 1,19746,AMOU 1,
Plateaux,Amou,Amou 2,Amou 2,40016,AMOU 2,
Plateaux,Amou,Amou 3,Amou 3,54410,AMOU 2,libellé source « AMOU 2 » en position 3 → Amou 3 (somme des cantons vérifiée)
Plateaux,Anié,Anié 1,Anié 1,100745,ANIE 1,
Plateaux,Anié,Anié 2,Anié 2,79413,ANIE 2,
Plateaux,Est-Mono,Est-Mono 1,Est-Mono 1,34652,EST-MONO 1,
