ligne_source,niveau,libelle_source,population,parent,region_bdd,prefecture_bdd,commune_bdd,correction
2,pays,TOGO,8095498,,,,,
3,region_rgph,SAVANES,1143520,2.0,Savanes,,,
4,prefecture,TONE,388775,3.0,Savanes,Tône,,
5,commune,TONE 1,211743,4.0,Savanes,Tône,Tône 1,
6,canton_ou_quartier,DAPAONG,144711,5.0,Savanes,Tône,Tône 1,
7,canton_ou_quartier,KOURIENTRE,12224,5.0,Savanes,Tône,Tône 1,
8,canton_ou_quartier,POISSONGUI,6155,5.0,Savanes,Tône,Tône 1,
9,canton_ou_quartier,NATIGOU,11234,5.0,Savanes,Tône,Tône 1,
10,canton_ou_quartier,TOAGA,13494,5.0,Savanes,Tône,Tône 1,
11,canton_ou_quartier,PANA,13279,5.0,Savanes,Tône,Tône 1,
12,canton_ou_quartier,BIDJENGA,10646,5.0,Savanes,Tône,Tône 1,
13,commune,TONE 2,50179,4.0,Savanes,Tône,Tône 2,
14,canton_ou_quartier,NAKI-OUEST,24016,13.0,Savanes,Tône,Tône 2,
15,canton_ou_quartier,NAMARE,12103,13.0,Savanes,Tône,Tône 2,
16,canton_ou_quartier,NANERGOU,14060,13.0,Savanes,Tône,Tône 2,
17,commune,TONE 3,60276,4.0,Savanes,Tône,Tône 3,
18,canton_ou_quartier,TAMI,20619,17.0,Savanes,Tône,Tône 3,
19,canton_ou_quartier,NIOUKPOURMA,17991,17.0,Savanes,Tône,Tône 3,
20,canton_ou_quartier,LOTOGOU,14432,17.0,Savanes,Tône,Tône 3,
21,canton_ou_quartier,WARKAMBOU,7234,17.0,Savanes,Tône,Tône 3,
22,commune,TONE 4,66577,4.0,Savanes,Tône,Tône 4,
23,canton_ou_quartier,KORBONGOU,25609,22.0,Savanes,Tône,Tône 4,
24,canton_ou_quartier,LOUANGA,11434,22.0,Savanes,Tône,Tône 4,
25,canton_ou_quartier,KANTINDI,14016,22.0,Savanes,Tône,Tône 4,
26,canton_ou_quartier,SANFATOUTE,15518,22.0,Savanes,Tône,Tône 4,
27,prefecture,CINKASSE,128959,3.0,Savanes,Cinkassé,,
28,commune,CINKASSE 1,75992,27.0,Savanes,Cinkassé,Cinkassé 1,
29,canton_ou_quartier,CINKASSE,63226,28.0,Savanes,Cinkassé,Cinkassé 1,
30,canton_ou_quartier,BOADE,7403,28.0,Savanes,Cinkassé,Cinkassé 1,
31,canton_ou_quartier,GNOAGA,1656,28.0,Savanes,Cinkassé,Cinkassé 1,
32,canton_ou_quartier,GOULOUNGOUSSI,3707,28.0,Savanes,Cinkassé,Cinkassé 1,
33,commune,CINKASSE 2,52967,27.0,Savanes,Cinkassé,Cinkassé 2,
34,canton_ou_quartier,TIMBOU,21709,33.0,Savanes,Cinkassé,Cinkassé 2,
35,canton_ou_quartier,SAM-NABA,9361,33.0,Savanes,Cinkassé,Cinkassé 2,
36,canton_ou_quartier,NADJOUNDI,10140,33.0,Savanes,Cinkassé,Cinkassé 2,
37,canton_ou_quartier,BIANKOURI,11757,33.0,Savanes,Cinkassé,Cinkassé 2,
38,prefecture,KPENDJAL-OUEST,123330,3.0,Savanes,Kpendjal-Ouest,,
39,commune,KPENDJAL-OUEST 1,56459,38.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,
40,canton_ou_quartier,NAKI-EST,24761,39.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,
41,canton_ou_quartier,NAYEGA,19235,39.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,
42,canton_ou_quartier,OGARO,12463,39.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,
43,commune,KPENDJAL-OUEST 2,66871,38.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,
44,canton_ou_quartier,POGNO,15448,43.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,
45,canton_ou_quartier,NAMOUNDJOGA,17896,43.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,
46,canton_ou_quartier,TAMBONGA,18709,43.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,
47,canton_ou_quartier,PAPRI,14818,43.0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,
48,prefecture,KPENDJAL,88365,3.0,Savanes,Kpendjal,,
49,commune,KPENDJAL 1,47903,48.0,Savanes,Kpendjal,Kpendjal 1,
50,canton_ou_quartier,MANDOURI,20616,49.0,Savanes,Kpendjal,Kpendjal 1,
51,canton_ou_quartier,TAMBIGOU,9361,49.0,Savanes,Kpendjal,Kpendjal 1,
52,canton_ou_quartier,KOUNDJOARE,17926,49.0,Savanes,Kpendjal,Kpendjal 1,
53,commune,KPENDJAL 2,40462,48.0,Savanes,Kpendjal,Kpendjal 2,
54,canton_ou_quartier,BORGOU,40462,53.0,Savanes,Kpendjal,Kpendjal 2,
55,prefecture,OTI-SUD,150376,3.0,Savanes,Oti-Sud,,
56,commune,OTI-SUD 1,106052,55.0,Savanes,Oti-Sud,Oti-Sud 1,
57,canton_ou_quartier,GANDO,41374,56.0,Savanes,Oti-Sud,Oti-Sud 1,
58,canton_ou_quartier,SAGBIEBOU,20370,56.0,Savanes,Oti-Sud,Oti-Sud 1,
59,canton_ou_quartier,MOGOU,30442,56.0,Savanes,Oti-Sud,Oti-Sud 1,
60,canton_ou_quartier,TCHAMONGA,13866,56.0,Savanes,Oti-Sud,Oti-Sud 1,
61,commune,OTI-SUD 2,44324,55.0,Savanes,Oti-Sud,Oti-Sud 2,
62,canton_ou_quartier,TAKPAMBA,12423,61.0,Savanes,Oti-Sud,Oti-Sud 2,
63,canton_ou_quartier,NALI,11284,61.0,Savanes,Oti-Sud,Oti-Sud 2,
64,canton_ou_quartier,KOUMONGOU,7167,61.0,Savanes,Oti-Sud,Oti-Sud 2,
65,canton_ou_quartier,KOUNTOIRE,13450,61.0,Savanes,Oti-Sud,Oti-Sud 2,
66,prefecture,OTI,124848,3.0,Savanes,Oti,,
67,commune,OTI 1,54479,66.0,Savanes,Oti,Oti 1,
68,canton_ou_quartier,MANGO,41803,67.0,Savanes,Oti,Oti 1,
69,canton_ou_quartier,SADORI,8100,67.0,Savanes,Oti,Oti 1,
70,canton_ou_quartier,FARE,4576,67.0,Savanes,Oti,Oti 1,
71,commune,OTI 2,70369,66.0,Savanes,Oti,Oti 2,
72,canton_ou_quartier,BARKOISSI,21060,71.0,Savanes,Oti,Oti 2,
73,canton_ou_quartier,GALANGASHIE,14810,71.0,Savanes,Oti,Oti 2,
74,canton_ou_quartier,TCHANAGA,8973,71.0,Savanes,Oti,Oti 2,
75,canton_ou_quartier,NAGBENI,19607,71.0,Savanes,Oti,Oti 2,
76,canton_ou_quartier,LOKO,5919,71.0,Savanes,Oti,Oti 2,
77,prefecture,TANDJOARE,138867,3.0,Savanes,Tandjoaré,,
78,commune,TANDJOARE 1,74692,77.0,Savanes,Tandjoaré,Tandjoaré 1,
79,canton_ou_quartier,NANDOGA,6334,78.0,Savanes,Tandjoaré,Tandjoaré 1,
80,canton_ou_quartier,BOMBOUAKA,10769,78.0,Savanes,Tandjoaré,Tandjoaré 1,
81,canton_ou_quartier,PLIGOU,7042,78.0,Savanes,Tandjoaré,Tandjoaré 1,
