region,prefecture,population,libelle_source,region_rgph
Savanes,Tône,388775,TONE,SAVANES
Savanes,Cinkassé,128959,CINKASSE,SAVANES
Savanes,Kpendjal-Ouest,123330,KPENDJAL-OUEST,SAVANES
Savanes,Kpendjal,88365,KPENDJAL,SAVANES
Savanes,Oti-Sud,150376,OTI-SUD,SAVANES
Savanes,Oti,124848,OTI,SAVANES
Savanes,Tandjoaré,138867,TANDJOARE,SAVANES
Kara,Kozah,283738,KOZAH,KARA
Kara,Assoli,66394,ASSOLI,KARA
Kara,Bassar,152065,BASSAR,KARA
Kara,Dankpen,185662,DANKPEN,KARA
Kara,Kéran,128687,KERAN,KARA
Kara,Doufelgou,84767,DOUFELGOU,KARA
Kara,Binah,84199,BINAH,KARA
Centrale,Tchaoudjo,240360,TCHAOUDJO,CENTRALE
Centrale,Tchamba,200585,TCHAMBA,CENTRALE
Centrale,Blitta,163272,BLITTA,CENTRALE
Centrale,Sotouboua,138864,SOTOUBOUA,CENTRALE
Centrale,Mô,52448,MO,CENTRALE
Plateaux,Ogou,253467,OGOU,PLATEAUX
Plateaux,Moyen-Mono,90505,MOYEN-MONO,PLATEAUX
Plateaux,Haho,305096,HAHO,PLATEAUX
Plateaux,Agou,85793,AGOU,PLATEAUX
Plateaux,Kloto,145986,KLOTO,PLATEAUX
Plateaux,Kpélé,80939,KPELE,PLATEAUX
Plateaux,Danyi,40240,DANYI,PLATEAUX
Plateaux,Wawa,101300,WAWA,PLATEAUX
Plateaux,Akébou,73830,AKEBOU,PLATEAUX
Plateaux,Amou,114172,AMOU,PLATEAUX
Plateaux,Anié,180158,ANIE,PLATEAUX
Plateaux,Est-Mono,164460,EST-MONO,PLATEAUX
Maritime,Zio,500032,ZIO,MARITIME
Maritime,Yoto,174851,YOTO,MARITIME
Maritime,Bas-Mono,94860,BAS-MONO,MARITIME
Maritime,Lacs,241247,LACS,MARITIME
Maritime,Vo,224411,VO,MARITIME
Maritime,Avé,111214,TOTOAL AVE,MARITIME
Maritime,Golfe,1305681,GOLFE,DAGL
Maritime,Agoè-Nyivé,882695,AGOE-NYIVE,DAGL
