fichier_donnees,fichier_schema,no,champ,question,type,present_dans_les_donnees
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,1,region_nom_bdd,,string,True
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,2,prefecture_nom_bdd,,string,True
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,3,commune_nom_bdd,,string,True
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,4,canton_nom_bdd,,string,True
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,5,id,,int,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,6,canton_id_bdd,ID du canton,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,7,etab_id_collecte,ID textuel de l'établissement,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,8,agent_id,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,9,agent_genre,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,10,agent_nom,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,11,agent_annee,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,12,agent_tel,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,13,metier,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,14,metier_spec,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,15,telephone_type,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,16,operateur,,string,True
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,17,service,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,18,id_moov,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,19,date_moov,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,20,flooz,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,21,flooz_id,,string,False
file-agents-mobile-money-19-12-2024-16-55-32.csv,agents-mobile-money.csv,22,flooz_date,,string,False
