annee,valeur_pct,indicateur,source,observation
1960,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1961,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1962,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1963,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1964,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1965,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1966,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1967,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1968,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1969,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1970,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1971,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1972,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1973,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1974,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
1975,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1976,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1977,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1978,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1979,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1980,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1981,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
1982,0.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
