indicateur_source,unite_source,annee,valeur,fichier,famille,libelle,groupe,operateur_source,technologie,unite,statut_qualite
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2013,348192.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2014,609095.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2015,902748.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2016,1570153.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2017,2655799.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2018,3686211.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet Fixe et Mobile (Toutes technologies),Nombre,2019,3411809.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet fixe + mobile,Marché,Ensemble du marché,Toutes,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2013,161877.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2014,255622.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2015,497941.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2016,1486188.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2017,2066408.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2018,2549258.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet haut débit Fixe et Mobile,Nombre,2019,2082203.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet haut débit fixe + mobile,Marché,Ensemble du marché,Haut débit,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2013,279437.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2014,526984.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2015,836676.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2016,1521390.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2017,2605249.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2018,3660055.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Toutes technologies),Nombre,2019,3379910.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile (toutes technologies),Marché,Ensemble du marché,Mobile,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2013,130019.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2014,210448.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2015,431869.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2016,1437425.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2017,2015858.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
